step,loss,time_seconds
289,0.439247,20.24
290,0.501975,20.29
291,0.570190,20.37
292,0.277834,20.39
293,0.515385,20.46
294,0.487064,20.52
295,0.688921,20.57
296,0.483903,20.62
297,0.462436,20.67
298,0.486469,20.76
299,0.414869,20.83
300,0.346844,20.88
301,0.404692,20.94
302,0.420055,21.02
303,0.550538,21.06
304,0.445642,21.10
305,0.299862,21.16
306,0.425774,21.25
307,0.374538,21.31
308,0.360166,21.34
309,0.403468,21.42
310,0.504360,21.48
311,0.362749,21.54
312,0.330304,21.61
313,0.486556,21.66
314,0.535607,21.73
315,0.490865,21.81
316,0.350702,21.89
317,0.460550,21.96
318,0.652625,22.01
319,0.370814,22.11
320,0.425808,22.14
321,0.455907,22.22
322,0.349601,22.28
323,0.494134,22.37
324,0.394735,22.49
325,0.447793,22.58
326,0.355328,22.64
327,0.360143,22.71
328,0.477067,22.83
329,0.458944,22.90
330,0.378085,22.99
331,0.365576,23.10
332,0.544823,23.22
333,0.299121,23.32
334,0.444278,23.41
335,0.368252,23.47
336,0.440163,23.54
337,0.396682,23.61
338,0.358276,23.66
339,0.469675,23.74
340,0.423566,23.80
341,0.427220,23.87
342,0.376503,23.93
343,0.536566,23.98
344,0.445209,24.05
345,0.396601,24.10
346,0.304150,24.15
347,0.200609,24.16
348,0.382283,24.23
349,0.433047,24.33
350,0.448869,24.41
351,0.380700,24.45
352,0.283519,24.49
353,0.364395,24.58
354,0.421792,24.64
355,0.384608,24.68
356,0.327878,24.74
357,0.466570,24.81
358,0.411472,24.88
359,0.436453,24.91
360,0.429406,24.99
361,0.368801,25.09
362,0.420432,25.16
363,0.392930,25.21
364,0.291401,25.27
365,0.279597,25.30
366,0.327142,25.38
367,0.442362,25.44
368,0.366029,25.50
369,0.304139,25.55
370,0.379651,25.59
371,0.453526,25.66
372,0.466087,25.71
373,0.322346,25.77
374,0.302201,25.85
375,0.340125,25.91
376,0.366103,25.97
377,0.409948,26.02
378,0.276233,26.06
379,0.318254,26.10
380,0.399109,26.18
381,0.304220,26.22
382,0.343303,26.30
383,0.363377,26.35
384,0.499237,26.41
385,0.366081,26.45
386,0.329731,26.51
387,0.320023,26.59
388,0.355322,26.66
389,0.363064,26.74
390,0.375828,26.76
391,0.369355,26.82
392,0.221747,26.83
393,0.364253,26.90
394,0.334561,26.97
395,0.327970,27.03
396,0.371199,27.09
397,0.388196,27.15
398,0.376227,27.21
399,0.310591,27.25
400,0.311542,27.31
401,0.302218,27.35
402,0.305099,27.39
403,0.362289,27.49
404,0.442605,27.55
405,0.261370,27.59
406,0.480018,27.69
407,0.381960,27.77
408,0.403641,27.83
409,0.336468,27.89
410,0.306019,27.95
411,0.337413,27.99
412,0.302644,28.06
413,0.309037,28.14
414,0.363201,28.21
415,0.336263,28.28
416,0.349357,28.36
417,0.333171,28.45
418,0.419663,28.52
419,0.266527,28.58
420,0.280627,28.64
421,0.287140,28.73
422,0.338066,28.78
423,0.363659,28.87
424,0.232527,28.91
425,0.435620,28.98
426,0.331841,29.05
427,0.381975,29.13
428,0.456984,29.22
429,0.306365,29.31
430,0.392845,29.43
431,0.408542,29.51
432,0.294420,29.58
433,0.351960,29.67
434,0.259006,29.75
435,0.396925,29.81
436,0.288504,29.89
437,0.349974,29.97
438,0.420889,30.00
439,0.284229,30.06
440,0.302319,30.15
441,0.232282,30.18
442,0.290820,30.25
443,0.300926,30.33
444,0.336613,30.42
445,0.324085,30.51
446,0.388830,30.59
447,0.240312,30.64
448,0.272659,30.69
449,0.332002,30.81
450,0.338753,30.87
451,0.301927,30.95
452,0.331514,31.05
453,0.357964,31.15
454,0.318856,31.21
455,0.333141,31.25
456,0.283028,31.34
457,0.380398,31.44
458,0.226521,31.50
459,0.365221,31.56
460,0.395489,31.61
461,0.243677,31.66
462,0.368068,31.72
463,0.320914,31.79
464,0.328925,31.83
465,0.301128,31.87
466,0.239239,31.92
467,0.275725,32.00
468,0.314568,32.07
469,0.311622,32.14
470,0.215487,32.19
471,0.312283,32.25
472,0.334952,32.31
473,0.351446,32.39
474,0.301214,32.45
475,0.208608,32.50
476,0.241207,32.54
477,0.339271,32.60
478,0.369059,32.66
479,0.285559,32.73
480,0.196879,32.76
481,0.194004,32.80
482,0.148350,32.82
483,0.190532,32.88
484,0.115415,32.92
485,0.376681,32.99
486,0.268314,33.07
487,0.317472,33.15
488,0.348695,33.22
489,0.291500,33.31
490,0.274212,33.35
491,0.249152,33.43
492,0.238119,33.45
493,0.334162,33.49
494,0.239893,33.52
495,0.382662,33.61
496,0.233114,33.68
497,0.335346,33.72
498,0.345934,33.83
499,0.235701,33.90
500,0.268450,34.01
501,0.309883,34.06
502,0.294527,34.13
503,0.310538,34.21
504,0.374256,34.33
505,0.379556,34.38
506,0.261186,34.49
507,0.327871,34.56
508,0.330472,34.70
509,0.347295,34.80
510,0.223788,34.83
511,0.252258,34.93
512,0.322086,35.03
513,0.198281,35.08
514,0.273416,35.19
515,0.398932,35.27
516,0.220590,35.34
517,0.361988,35.46
518,0.336189,35.51
519,0.192403,35.55
520,0.221171,35.61
521,0.236371,35.69
522,0.383531,35.76
523,0.260397,35.86
524,0.216606,35.92
525,0.331606,35.98
526,0.301486,36.04
527,0.396865,36.10
528,0.401176,36.16
529,0.323792,36.24
530,0.374732,36.27
531,0.234883,36.38
532,0.351619,36.46
533,0.311391,36.54
534,0.152467,36.59
535,0.323656,36.66
536,0.247578,36.75
537,0.248747,36.81
538,0.217915,36.86
