step,loss,time_seconds
289,0.516123,14.14
290,0.396364,14.17
291,0.306715,14.22
292,0.284214,14.26
293,0.351630,14.34
294,0.372992,14.39
295,0.397258,14.45
296,0.316194,14.49
297,0.395102,14.56
298,0.404276,14.60
299,0.332115,14.66
300,0.337878,14.74
301,0.303780,14.76
302,0.461813,14.81
303,0.380957,14.89
304,0.381479,14.90
305,0.348145,14.98
306,0.295307,15.00
307,0.308574,15.04
308,0.372965,15.08
309,0.393033,15.14
310,0.246177,15.18
311,0.333704,15.25
312,0.308347,15.32
313,0.376404,15.36
314,0.287447,15.41
315,0.233200,15.46
316,0.330089,15.50
317,0.399743,15.55
318,0.424955,15.59
319,0.260982,15.64
320,0.256840,15.68
321,0.257836,15.71
322,0.366274,15.76
323,0.325732,15.78
324,0.294524,15.84
325,0.284315,15.90
326,0.496172,15.92
327,0.343504,15.97
328,0.394793,16.04
329,0.345336,16.09
330,0.436570,16.11
331,0.430988,16.15
332,0.295320,16.19
333,0.361721,16.24
334,0.404078,16.26
335,0.254961,16.31
336,0.354374,16.36
337,0.425916,16.42
338,0.382917,16.49
339,0.359373,16.54
340,0.353493,16.61
341,0.281650,16.63
342,0.263929,16.67
343,0.455969,16.73
344,0.326680,16.76
345,0.295455,16.81
346,0.288643,16.86
347,0.357878,16.92
348,0.342597,17.02
349,0.424332,17.11
350,0.335168,17.15
351,0.424772,17.22
352,0.366111,17.27
353,0.358154,17.34
354,0.298385,17.38
355,0.318813,17.45
356,0.318019,17.53
357,0.254968,17.56
358,0.301740,17.58
359,0.220555,17.63
360,0.338334,17.71
361,0.307704,17.76
362,0.314939,17.81
363,0.216716,17.87
364,0.416163,17.91
365,0.361680,17.97
366,0.344743,18.03
367,0.317656,18.13
368,0.371162,18.18
369,0.396086,18.25
370,0.261359,18.30
371,0.294015,18.37
372,0.333765,18.44
373,0.371306,18.50
374,0.278561,18.54
375,0.331469,18.61
376,0.327364,18.67
377,0.246106,18.73
378,0.305444,18.80
379,0.323250,18.86
380,0.425953,18.91
381,0.384582,18.94
382,0.250966,19.01
383,0.242397,19.06
384,0.208883,19.13
385,0.253175,19.18
386,0.360847,19.24
387,0.211441,19.28
388,0.301231,19.32
389,0.258499,19.41
390,0.326925,19.48
391,0.275742,19.55
392,0.307405,19.60
393,0.244404,19.67
394,0.221179,19.72
395,0.171531,19.80
396,0.286263,19.85
397,0.315250,19.92
398,0.382380,19.98
399,0.210052,20.05
400,0.317060,20.11
401,0.246041,20.17
402,0.325011,20.21
403,0.217259,20.25
404,0.315216,20.30
405,0.254010,20.36
406,0.334071,20.43
407,0.294708,20.46
408,0.294851,20.52
409,0.282563,20.55
410,0.225001,20.62
411,0.241381,20.72
412,0.225220,20.79
413,0.262591,20.85
414,0.248990,20.92
415,0.176548,20.95
416,0.256531,21.00
417,0.225184,21.06
418,0.197066,21.14
419,0.171888,21.16
420,0.260451,21.18
421,0.240009,21.26
422,0.254493,21.32
423,0.233655,21.35
424,0.258404,21.42
425,0.292605,21.49
426,0.336885,21.57
427,0.326811,21.62
428,0.203534,21.69
429,0.263237,21.76
430,0.204588,21.82
431,0.374773,21.88
432,0.244640,21.94
433,0.312833,22.00
434,0.324752,22.08
435,0.265446,22.13
436,0.193073,22.18
437,0.301143,22.24
438,0.259281,22.30
439,0.095269,22.33
440,0.429974,22.36
441,0.205923,22.43
442,0.260484,22.52
443,0.194627,22.57
444,0.314732,22.64
445,0.205281,22.67
446,0.290056,22.71
447,0.321387,22.77
448,0.220978,22.81
449,0.250782,22.85
