step,loss,time_seconds
289,0.405938,21.77
290,0.452919,21.85
291,0.425112,21.93
292,0.332376,22.00
293,0.393796,22.05
294,0.381673,22.15
295,0.450224,22.19
296,0.347884,22.27
297,0.370163,22.37
298,0.298794,22.42
299,0.365973,22.47
300,0.401732,22.56
301,0.504605,22.67
302,0.345212,22.74
303,0.511221,22.84
304,0.460104,22.91
305,0.433830,23.01
306,0.413337,23.06
307,0.347457,23.13
308,0.458835,23.25
309,0.479273,23.31
310,0.444153,23.43
311,0.377465,23.49
312,0.300170,23.54
313,0.462709,23.60
314,0.313415,23.66
315,0.415419,23.75
316,0.413396,23.85
317,0.511682,23.89
318,0.289696,23.95
319,0.360936,24.00
320,0.392266,24.12
321,0.376954,24.19
322,0.374797,24.30
323,0.463648,24.37
324,0.375491,24.46
325,0.307860,24.52
326,0.415321,24.65
327,0.377273,24.74
328,0.392184,24.83
329,0.324699,24.92
330,0.360167,25.01
331,0.473805,25.11
332,0.301293,25.15
333,0.318041,25.23
334,0.245748,25.24
335,0.329684,25.32
336,0.460774,25.45
337,0.512077,25.53
338,0.420483,25.60
339,0.397338,25.67
340,0.372299,25.75
341,0.341864,25.81
342,0.368357,25.92
343,0.399387,26.01
344,0.458047,26.11
345,0.324415,26.19
346,0.383590,26.28
347,0.341473,26.36
348,0.342985,26.41
349,0.250892,26.45
350,0.318328,26.57
351,0.386486,26.63
352,0.310770,26.71
353,0.358623,26.78
354,0.377489,26.86
355,0.462171,26.93
356,0.315907,27.01
357,0.380207,27.09
358,0.363337,27.16
359,0.422293,27.23
360,0.350397,27.35
361,0.373400,27.41
362,0.389428,27.54
363,0.321651,27.62
364,0.360631,27.69
365,0.378778,27.76
366,0.426541,27.90
367,0.340798,27.98
368,0.384505,28.03
369,0.286201,28.09
370,0.303888,28.15
371,0.426194,28.24
372,0.401592,28.30
373,0.333790,28.39
374,0.355021,28.48
375,0.378218,28.56
376,0.375076,28.67
377,0.346693,28.74
378,0.378537,28.86
379,0.299452,28.96
380,0.340461,29.01
381,0.336166,29.09
382,0.412363,29.20
383,0.435694,29.28
384,0.261985,29.32
385,0.260598,29.36
386,0.351924,29.44
387,0.359429,29.50
388,0.328911,29.58
389,0.350362,29.67
390,0.419544,29.74
391,0.369469,29.85
392,0.280698,29.95
393,0.239989,30.03
394,0.330921,30.10
395,0.389945,30.19
396,0.314726,30.25
397,0.198114,30.30
398,0.282613,30.39
399,0.262972,30.43
400,0.234736,30.49
401,0.441599,30.59
402,0.223975,30.63
403,0.366257,30.75
404,0.178835,30.79
405,0.287797,30.85
406,0.318142,30.93
407,0.391835,30.97
408,0.340082,31.04
409,0.308301,31.12
410,0.429166,31.22
411,0.367484,31.28
412,0.262414,31.34
413,0.333782,31.43
414,0.347300,31.47
415,0.286049,31.53
416,0.309582,31.59
417,0.372012,31.67
418,0.253251,31.74
419,0.345727,31.78
420,0.322677,31.86
421,0.467729,31.91
422,0.301452,31.99
423,0.361384,32.07
424,0.375457,32.11
425,0.369272,32.20
426,0.252187,32.24
427,0.365474,32.38
428,0.283092,32.46
429,0.251615,32.58
430,0.339342,32.64
431,0.427348,32.70
432,0.415511,32.81
433,0.239088,32.87
434,0.166338,32.94
435,0.376498,33.00
436,0.322261,33.06
437,0.271201,33.12
438,0.236515,33.15
439,0.305259,33.22
440,0.283336,33.31
441,0.225090,33.37
442,0.358571,33.45
443,0.396458,33.47
444,0.153238,33.50
445,0.385769,33.60
446,0.281032,33.65
447,0.360249,33.72
448,0.296637,33.77
449,0.464154,33.87
450,0.273552,33.99
451,0.363221,34.11
452,0.249048,34.19
453,0.404330,34.27
454,0.282139,34.34
455,0.450891,34.39
456,0.326407,34.46
457,0.313205,34.58
458,0.267225,34.68
459,0.335909,34.80
460,0.266450,34.90
461,0.266447,34.96
462,0.325359,35.02
463,0.296120,35.09
464,0.382154,35.16
465,0.224054,35.22
466,0.348848,35.34
467,0.311212,35.41
468,0.329896,35.51
469,0.252833,35.61
470,0.272501,35.70
471,0.361217,35.78
472,0.254069,35.86
473,0.242474,35.91
474,0.257652,35.99
475,0.197522,36.04
476,0.190913,36.07
477,0.216540,36.16
478,0.203342,36.23
479,0.301481,36.34
480,0.358106,36.45
481,0.272147,36.54
482,0.283975,36.63
483,0.280321,36.70
484,0.326885,36.79
485,0.313196,36.90
486,0.396884,36.99
487,0.290122,37.06
488,0.174889,37.10
489,0.267131,37.15
490,0.349725,37.24
491,0.240279,37.31
492,0.345329,37.41
493,0.252721,37.53
494,0.348868,37.62
495,0.178460,37.68
496,0.252988,37.71
497,0.231060,37.77
498,0.183513,37.85
499,0.292199,37.89
500,0.292102,37.94
501,0.223273,38.00
502,0.333468,38.07
503,0.282018,38.19
504,0.341637,38.26
505,0.319671,38.31
506,0.254335,38.41
