variant,format_acc,tool_acc,param_acc,reply_quality,composite,params,inference_speed,memory_utilization,key_diversity
no_memory,0.5625,0.5125,0.2625,0.6123,0.4800,96768,1064,0.0000,0.0000
hebbian_memory,0.1750,0.1500,0.1000,0.4931,0.1965,96768,523,0.1250,0.9976
