step,loss,time_seconds
289,0.262947,13.64
290,0.393094,13.69
291,0.267922,13.73
292,0.163017,13.79
293,0.308822,13.84
294,0.186542,13.89
295,0.232428,13.93
296,0.242428,13.98
297,0.259461,14.03
298,0.330920,14.09
299,0.356739,14.13
300,0.325241,14.17
301,0.321867,14.24
302,0.266005,14.31
303,0.161523,14.33
304,0.229395,14.36
305,0.341355,14.39
306,0.213952,14.43
307,0.218466,14.48
308,0.195162,14.53
309,0.184419,14.58
310,0.244171,14.62
311,0.199902,14.67
312,0.109827,14.70
313,0.302486,14.75
314,0.298346,14.80
315,0.175997,14.84
316,0.239709,14.88
317,0.190350,14.93
318,0.335242,14.97
319,0.265067,15.02
320,0.319114,15.05
321,0.316508,15.11
322,0.215242,15.17
323,0.219651,15.22
324,0.278630,15.25
325,0.246355,15.30
326,0.389612,15.32
327,0.241353,15.39
328,0.252536,15.44
329,0.246894,15.48
330,0.250870,15.52
331,0.257977,15.56
332,0.273561,15.59
333,0.243829,15.62
334,0.315802,15.67
335,0.208977,15.72
336,0.258602,15.77
337,0.213772,15.83
338,0.298657,15.88
339,0.350299,15.96
340,0.288178,16.03
341,0.204051,16.06
342,0.264638,16.12
343,0.247921,16.15
344,0.147422,16.17
345,0.235106,16.21
346,0.288934,16.25
347,0.119859,16.30
348,0.122351,16.34
349,0.112376,16.34
350,0.239394,16.40
351,0.260282,16.44
352,0.304427,16.48
353,0.185133,16.54
354,0.288538,16.59
355,0.250788,16.65
356,0.331428,16.68
357,0.251852,16.74
358,0.207259,16.78
359,0.244223,16.84
360,0.220144,16.89
361,0.136113,16.92
362,0.220400,16.97
363,0.222549,17.00
364,0.188122,17.03
365,0.192805,17.05
366,0.174438,17.10
367,0.225634,17.13
368,0.232385,17.18
369,0.301936,17.23
370,0.266876,17.29
371,0.304207,17.35
372,0.229983,17.39
373,0.187842,17.41
374,0.092128,17.42
375,0.293445,17.48
376,0.229380,17.54
377,0.298972,17.59
378,0.193275,17.61
379,0.236364,17.68
380,0.363051,17.71
381,0.117429,17.75
382,0.217319,17.79
383,0.227693,17.84
384,0.250727,17.88
385,0.287816,17.93
386,0.289538,17.99
387,0.210663,18.03
388,0.192789,18.10
389,0.232388,18.13
390,0.296947,18.18
391,0.200754,18.21
392,0.312219,18.27
393,0.237770,18.33
394,0.250233,18.38
395,0.239029,18.43
396,0.164334,18.46
397,0.260613,18.49
398,0.162949,18.53
399,0.127972,18.57
400,0.195711,18.63
401,0.198674,18.67
402,0.285865,18.72
403,0.122997,18.77
404,0.196862,18.83
405,0.181918,18.88
406,0.145781,18.93
407,0.253903,18.97
408,0.162749,19.03
409,0.217478,19.07
410,0.223027,19.12
411,0.169919,19.16
412,0.306125,19.21
413,0.251319,19.24
414,0.241236,19.27
415,0.273550,19.33
416,0.389203,19.37
417,0.207550,19.41
418,0.187778,19.43
419,0.274358,19.50
420,0.089402,19.50
421,0.442615,19.51
422,0.184347,19.57
423,0.280071,19.64
424,0.174550,19.68
425,0.195823,19.73
426,0.107152,19.76
427,0.237529,19.81
428,0.303341,19.86
429,0.177090,19.91
430,0.171871,19.96
431,0.213570,20.00
432,0.275999,20.04
433,0.280440,20.08
434,0.164096,20.12
435,0.279040,20.17
436,0.211228,20.22
437,0.212088,20.26
438,0.270326,20.31
439,0.179545,20.35
440,0.218359,20.40
441,0.269163,20.43
442,0.324612,20.49
443,0.157569,20.51
444,0.256301,20.56
445,0.277833,20.60
446,0.201597,20.62
447,0.322472,20.68
448,0.253654,20.73
449,0.241914,20.78
450,0.220320,20.85
451,0.193069,20.90
452,0.338862,20.94
453,0.233557,20.98
454,0.263157,21.04
455,0.191903,21.06
456,0.232578,21.13
457,0.241928,21.16
458,0.194572,21.22
459,0.248919,21.27
460,0.284923,21.30
461,0.231198,21.36
462,0.224236,21.41
463,0.217989,21.46
464,0.216224,21.52
465,0.207044,21.58
466,0.191386,21.64
467,0.275518,21.70
468,0.220483,21.75
469,0.127100,21.79
470,0.235269,21.86
471,0.296495,21.91
472,0.220257,21.97
473,0.165473,22.02
474,0.236501,22.09
475,0.140616,22.15
476,0.340573,22.20
477,0.216097,22.23
478,0.272155,22.26
479,0.218178,22.30
480,0.228689,22.36
481,0.281206,22.42
482,0.123928,22.45
483,0.225221,22.51
484,0.233026,22.58
485,0.314701,22.64
486,0.200429,22.70
487,0.284009,22.72
488,0.185348,22.79
489,0.243616,22.84
490,0.294263,22.90
491,0.220669,22.94
492,0.166209,22.98
493,0.201078,23.00
494,0.317755,23.04
495,0.190191,23.09
496,0.295456,23.11
497,0.200459,23.14
498,0.108795,23.19
499,0.164000,23.25
500,0.283858,23.31
501,0.249841,23.37
502,0.225070,23.41
503,0.219021,23.45
504,0.076361,23.47
505,0.182380,23.53
506,0.108881,23.56
507,0.145787,23.62
508,0.269549,23.69
509,0.198688,23.76
510,0.290829,23.81
511,0.226034,23.88
512,0.199326,23.92
513,0.178818,23.96
514,0.179615,24.01
515,0.271127,24.07
516,0.185928,24.11
517,0.190115,24.16
518,0.241008,24.23
519,0.194109,24.28
520,0.210908,24.31
521,0.246598,24.35
522,0.287512,24.41
523,0.248411,24.46
524,0.127560,24.50
525,0.274681,24.55
526,0.240045,24.60
527,0.138416,24.65
528,0.210122,24.67
529,0.180840,24.71
530,0.171437,24.78
531,0.256679,24.84
532,0.144519,24.88
533,0.169500,24.95
534,0.230957,25.01
535,0.247115,25.05
536,0.261302,25.10
537,0.142248,25.13
538,0.134808,25.19
539,0.272532,25.26
540,0.310940,25.30
541,0.269058,25.34
542,0.158849,25.40
543,0.055529,25.41
544,0.260229,25.46
545,0.190312,25.48
546,0.176123,25.55
547,0.287488,25.60
548,0.248593,25.66
549,0.254875,25.71
550,0.216894,25.78
551,0.193214,25.83
552,0.255904,25.88
553,0.198679,25.93
554,0.197103,25.97
555,0.325633,26.02
556,0.264751,26.07
557,0.220919,26.12
558,0.251477,26.17
559,0.164923,26.21
560,0.219972,26.27
561,0.211294,26.32
562,0.204195,26.36
563,0.314330,26.42
564,0.197889,26.47
565,0.136930,26.49
566,0.190935,26.54
567,0.249641,26.59
568,0.205398,26.64
569,0.272967,26.68
570,0.159978,26.73
571,0.295944,26.78
572,0.206149,26.82
573,0.171728,26.88
574,0.110157,26.91
575,0.219122,26.94
576,0.304497,26.96
577,0.316513,27.01
578,0.218946,27.07
579,0.173392,27.13
580,0.257634,27.17
581,0.148998,27.23
582,0.281171,27.29
583,0.174425,27.36
584,0.233973,27.42
585,0.293533,27.48
586,0.260935,27.54
587,0.187434,27.60
588,0.175465,27.65
589,0.213099,27.72
590,0.287897,27.76
591,0.175835,27.80
592,0.197782,27.87
593,0.192218,27.92
594,0.162455,27.97
595,0.221480,28.03
596,0.200084,28.08
597,0.269412,28.15
598,0.272925,28.18
599,0.279974,28.23
600,0.104919,28.27
601,0.149737,28.31
602,0.286472,28.37
603,0.178017,28.40
604,0.258691,28.45
605,0.273478,28.52
606,0.227431,28.58
607,0.284053,28.63
608,0.299801,28.66
609,0.163191,28.71
610,0.302564,28.74
611,0.240822,28.80
612,0.201911,28.84
613,0.257145,28.91
614,0.235175,28.94
615,0.167627,28.98
616,0.173343,29.03
617,0.209065,29.08
618,0.278994,29.13
619,0.259408,29.16
620,0.237750,29.19
621,0.142614,29.23
622,0.204563,29.28
623,0.134431,29.30
624,0.291401,29.35
625,0.270004,29.41
626,0.094205,29.42
627,0.107680,29.46
628,0.193324,29.49
629,0.169307,29.54
630,0.169406,29.57
631,0.100080,29.61
632,0.352235,29.65
633,0.147104,29.70
634,0.213562,29.76
635,0.205161,29.81
636,0.301043,29.86
637,0.245870,29.92
638,0.188355,29.97
639,0.193326,30.02
640,0.189657,30.08
641,0.207962,30.11
642,0.224534,30.15
643,0.175384,30.20
