variant,format_acc,tool_acc,param_acc,reply_quality,composite,params,gen_gap
hybrid_id,0.6250,0.6000,0.2375,0.6655,0.5267,43779,0.1574
hybrid_ood,0.4375,0.4125,0.1250,0.5533,0.3692,43779,0.1574
