step,loss
464,0.341111
465,0.438235
466,0.350739
467,0.390503
468,0.222267
469,0.396681
470,0.332731
472,0.276838
473,0.216096
474,0.174410
475,0.161698
476,0.356454
477,0.286307
478,0.103805
479,0.447859
480,0.380257
481,0.328458
482,0.257101
483,0.233112
484,0.506331
485,0.053108
486,0.202369
487,0.256652
488,0.398466
489,0.076444
490,0.552169
491,0.131726
492,0.289174
493,0.220323
494,0.585874
495,0.291024
496,0.305870
497,0.392086
498,0.513733
499,0.379220
500,0.436356
501,0.318409
503,0.275278
504,0.363126
505,0.383095
506,0.289513
507,0.215145
508,0.221314
509,0.398645
510,0.282257
511,0.281946
512,0.355968
513,0.381554
514,0.247676
515,0.227162
516,0.305297
517,0.283068
518,0.285012
519,0.397154
520,0.171248
521,0.184133
522,0.329258
523,0.479718
524,0.417446
525,0.169394
526,0.239731
527,0.196129
528,0.350781
529,0.336799
530,0.250840
531,0.366546
532,0.469163
533,0.100514
534,0.251443
535,0.075986
536,0.428088
537,0.151622
538,0.399355
539,0.464617
540,0.426102
541,0.261723
542,0.455965
543,0.307203
544,0.265205
545,0.371601
546,0.309181
547,0.347974
548,0.080849
549,0.209339
550,0.465726
551,0.347146
552,0.317065
553,0.252538
554,0.244133
555,0.270210
556,0.494665
557,0.171545
558,0.164148
559,0.303610
560,0.180652
561,0.224816
562,0.063326
563,0.310576
564,0.359632
566,0.332647
567,0.294118
568,0.210828
569,0.099320
570,0.254820
571,0.199902
572,0.090494
573,0.313139
574,0.379040
575,0.516110
576,0.141352
577,0.430868
579,0.263043
580,0.270033
581,0.205978
582,0.257938
583,0.296722
584,0.351049
585,0.282664
586,0.247427
587,0.218406
588,0.162927
589,0.247890
591,0.199050
592,0.191778
593,0.250899
594,0.078750
595,0.237955
596,0.228880
597,0.201336
598,0.316453
599,0.381658
600,0.345672
601,0.364857
602,0.351679
603,0.189973
604,0.176464
605,0.223167
606,0.271108
607,0.130557
608,0.236735
609,0.225936
610,0.134405
611,0.071404
612,0.271723
613,0.259954
614,0.189473
615,0.218853
616,0.226828
617,0.085410
618,0.248110
619,0.180620
620,0.407304
621,0.236751
622,0.286495
623,0.148012
624,0.233283
625,0.448311
626,0.139760
627,0.196108
628,0.238609
629,0.222206
631,0.305893
632,0.371296
633,0.193755
634,0.295399
635,0.065129
636,0.056989
637,0.195360
638,0.251487
639,0.350414
640,0.317756
641,0.291741
642,0.411002
643,0.267099
644,0.364675
645,0.277967
646,0.312920
647,0.232854
648,0.393760
649,0.312195
650,0.185172
651,0.341636
652,0.340533
653,0.198636
654,0.277150
655,0.073913
656,0.277147
657,0.218921
658,0.265652
659,0.383498
660,0.350926
661,0.252843
662,0.243643
663,0.439045
664,0.259916
665,0.309200
666,0.050751
667,0.382465
668,0.186724
669,0.373484
670,0.156604
671,0.166249
672,0.205778
673,0.219021
674,0.149175
675,0.182968
676,0.106852
677,0.446696
678,0.306002
679,0.497119
680,0.141543
681,0.140078
682,0.146181
683,0.418076
684,0.315291
685,0.359257
686,0.358872
687,0.216543
689,0.294001
690,0.072758
691,0.297882
692,0.303408
693,0.338508
694,0.292732
695,0.271361
696,0.077064
